id,fromLng,fromLat,id2,toLng,toLat,number,distance
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,1764e0a5-11db-4900-92ce-52196acbaa78,116.4581,40.24524,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,29e1477b-dcd1-45ac-8cfe-3887f3bde6ee,116.0362,40.1544,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,3aff9493-502c-4fae-af8a-840fbfaddec4,116.026,40.27406,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,3d25ad97-b32c-4b1b-aaf0-702eb7df30b2,115.9939,40.12733,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,45acb8d8-55ac-44ec-907d-889bfa98bf92,116.271,40.36382,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,619b1d12-99bc-4f2f-aa61-88c899d15a21,116.2013,40.30144,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,6f7815ec-4ba6-4237-954d-7aa4562d6fc6,116.0911,40.13903,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,74bbb4c8-4c33-434e-a7a6-4c0fb316f205,116.3382,40.24013,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,809475e2-8e3b-4935-8fbb-498d7e14697f,115.8242058,40.48454356,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,8ed05490-803e-45d8-b87f-433febb2e58f,116.395,40.29522,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,b258443c-83f0-4a28-91fe-1357e5121574,115.9461,40.21739,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,c1561744-8913-4b35-9322-2ed78576bec1,116.3283,40.31108,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,d5e2e6c3-628c-4ef0-a58f-3fb2052c0c78,116.18,40.34894,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,e4eecef4-383d-4867-8835-98bbff441d72,115.9118,40.15415,1,6
f716c859-d7ee-42ff-816f-44bea97cd66e,116.213282,40.18582,e92125d2-9d9d-459f-ae39-8b2332b13021,116.0372,40.24504,1,6
619b1d12-99bc-4f2f-aa61-88c899d15a21,116.2013,40.30144,77f890b6-586a-40bc-a668-0d4fec9f8807,116.1587,40.32158,1,5.2
74bbb4c8-4c33-434e-a7a6-4c0fb316f205,116.3382,40.24013,5e1c67c6-61f5-43ae-ab86-006b9d526a62,116.3034,40.24952,1,5
3d25ad97-b32c-4b1b-aaf0-702eb7df30b2,115.9939,40.12733,f20aaf16-c16c-479f-a40b-9be82fff0502,115.9433,40.13328,1,5.2
